epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,266.18,0.62412,0.5337,0.98674,0.89786,0.96774,0.96488,0.79184,0.67568,0.52018,0.85807,0.0011882,0.0011882,0.0011882
43,273.807,0.59499,0.46629,0.97031,0.96281,0.83522,0.91715,0.75462,0.70038,0.53077,0.88057,0.0011684,0.0011684,0.0011684
44,279.531,0.60048,0.54164,0.97494,0.90687,0.94257,0.97907,0.79223,0.70205,0.52271,0.87179,0.0011486,0.0011486,0.0011486
45,286.526,0.61953,0.48779,0.94928,0.92561,0.83871,0.93478,0.80395,0.66137,0.5519,0.83506,0.0011288,0.0011288,0.0011288
46,293.762,0.65169,0.51234,0.99088,0.98973,0.80645,0.88625,0.71668,0.79188,0.67312,0.93379,0.001109,0.001109,0.001109
47,299.619,0.64499,0.55466,0.98221,0.93096,0.87,0.94125,0.78754,0.6564,0.58108,0.87429,0.0010892,0.0010892,0.0010892
48,305.176,0.8593,1.10695,1.10473,0.96396,0.86298,0.91754,0.79249,0.65746,0.49494,0.85753,0.0010694,0.0010694,0.0010694
49,310.424,0.64319,0.57268,0.97887,0.96147,0.80511,0.87183,0.74365,0.69199,0.59414,0.85991,0.0010496,0.0010496,0.0010496
50,316.816,0.59522,0.50638,0.95406,0.96659,0.93343,0.97835,0.80448,0.67228,0.49793,0.83512,0.0010298,0.0010298,0.0010298
51,322.348,0.55308,0.43491,0.95671,1,0.96459,0.97025,0.80606,0.67717,0.45815,0.85505,0.00101,0.00101,0.00101
52,328.613,0.63067,0.47803,0.98201,1,0.86802,0.945,0.79477,0.66376,0.51041,0.85748,0.0009902,0.0009902,0.0009902
53,334.744,0.65679,0.55969,0.99148,0.9591,0.90323,0.96091,0.80781,0.66322,0.52609,0.83772,0.0009704,0.0009704,0.0009704
54,340.001,0.67863,0.48391,0.98204,0.95955,0.93548,0.9577,0.82528,0.64755,0.53497,0.86359,0.0009506,0.0009506,0.0009506
55,346.26,0.53425,0.46922,0.96848,0.92616,0.93548,0.97796,0.84498,0.60953,0.4919,0.83321,0.0009308,0.0009308,0.0009308
56,351.655,0.77549,0.51074,1.12594,0.94446,0.90323,0.96556,0.80222,0.67284,0.42724,0.86221,0.000911,0.000911,0.000911
57,357.855,0.51503,0.43668,0.92945,0.96539,0.89989,0.95001,0.80913,0.63632,0.4377,0.8338,0.0008912,0.0008912,0.0008912
58,363.53,0.49989,0.3907,0.93482,0.8853,0.96774,0.98339,0.85126,0.58308,0.4184,0.81399,0.0008714,0.0008714,0.0008714
59,369.011,0.62553,0.47012,0.9448,1,0.86838,0.98339,0.84553,0.60257,0.42488,0.83266,0.0008516,0.0008516,0.0008516
60,375.022,0.52088,0.40974,0.92958,1,0.86447,0.9706,0.869,0.55835,0.43498,0.80289,0.0008318,0.0008318,0.0008318
61,381.756,0.58329,0.42777,0.9696,0.95112,0.87097,0.97915,0.86201,0.57976,0.42287,0.80198,0.000812,0.000812,0.000812
62,387.596,0.56284,0.46946,0.94918,0.96324,0.93548,0.98626,0.85952,0.5924,0.4064,0.80894,0.0007922,0.0007922,0.0007922
63,393.018,0.50732,0.38605,0.92861,0.96767,0.96571,0.98594,0.88063,0.55845,0.39351,0.77698,0.0007724,0.0007724,0.0007724
64,398.97,0.46084,0.39054,0.89029,0.96771,0.96675,0.98664,0.86821,0.53419,0.37348,0.7738,0.0007526,0.0007526,0.0007526
65,405.371,0.48906,0.40676,0.92664,0.93864,0.98714,0.99028,0.88218,0.51915,0.36849,0.78106,0.0007328,0.0007328,0.0007328
66,410.77,0.49889,0.4025,0.92457,0.87399,1,0.98333,0.87816,0.53168,0.36749,0.79213,0.000713,0.000713,0.000713
67,416.944,0.62231,0.43208,1.02988,1,0.82626,0.96741,0.84082,0.54047,0.40633,0.79316,0.0006932,0.0006932,0.0006932
68,422.175,0.51,0.41774,0.96128,0.96167,0.90323,0.97047,0.85915,0.52545,0.39215,0.78534,0.0006734,0.0006734,0.0006734
69,428.1,0.49958,0.39385,0.92463,1,0.90175,0.96804,0.83634,0.56397,0.41924,0.79142,0.0006536,0.0006536,0.0006536
70,433.531,0.46382,0.37775,0.93571,0.99128,0.87097,0.95504,0.84456,0.53769,0.47317,0.78084,0.0006338,0.0006338,0.0006338
71,438.693,0.67902,0.4736,1.11285,0.96474,0.93548,0.9863,0.86128,0.56882,0.40167,0.80253,0.000614,0.000614,0.000614
72,444.478,0.4215,0.33162,0.88802,0.97699,0.93548,0.9753,0.86314,0.54661,0.3712,0.79388,0.0005942,0.0005942,0.0005942
73,449.695,0.4643,0.35264,0.90651,0.99705,0.93548,0.98581,0.85264,0.62206,0.38938,0.82103,0.0005744,0.0005744,0.0005744
74,455.185,0.48406,0.35713,0.88619,0.96651,1,0.99219,0.8667,0.58003,0.36347,0.78816,0.0005546,0.0005546,0.0005546
75,460.926,0.47332,0.41427,0.91845,0.96847,1,0.99312,0.87239,0.5461,0.31806,0.78562,0.0005348,0.0005348,0.0005348
76,466.007,0.46063,0.35069,0.9216,1,0.96611,0.99406,0.89343,0.53116,0.31696,0.79115,0.000515,0.000515,0.000515
77,472.266,0.43127,0.33989,0.89666,1,0.96476,0.99318,0.89436,0.51026,0.31157,0.77316,0.0004952,0.0004952,0.0004952
78,477.772,0.42799,0.33816,0.90212,1,0.96517,0.99083,0.90031,0.50598,0.31136,0.75241,0.0004754,0.0004754,0.0004754
79,483.131,0.45293,0.3423,0.87864,1,0.96474,0.99014,0.89275,0.50507,0.31359,0.74767,0.0004556,0.0004556,0.0004556
80,489.755,0.46423,0.34663,0.91109,0.96135,1,0.99312,0.88397,0.53685,0.31224,0.76146,0.0004358,0.0004358,0.0004358
81,494.951,0.46515,0.32188,0.87849,1,0.961,0.99318,0.87868,0.51898,0.31174,0.76669,0.000416,0.000416,0.000416
82,500.799,0.42963,0.33258,0.89151,0.99699,0.96774,0.99235,0.87528,0.5332,0.30348,0.78466,0.0003962,0.0003962,0.0003962
83,506.316,0.45298,0.35456,0.89422,0.99591,0.96774,0.99157,0.87659,0.53598,0.31278,0.80153,0.0003764,0.0003764,0.0003764
84,513.471,0.4396,0.40978,0.91744,1,0.9605,0.98663,0.89179,0.50614,0.29843,0.79043,0.0003566,0.0003566,0.0003566
85,519.004,0.38113,0.32345,0.87035,0.99973,0.96774,0.98947,0.90028,0.50099,0.30062,0.76034,0.0003368,0.0003368,0.0003368
86,524.633,0.3984,0.28817,0.86848,0.99678,0.96774,0.99235,0.90258,0.48988,0.29566,0.74444,0.000317,0.000317,0.000317
87,530.562,0.41402,0.33323,0.84511,0.99794,0.96774,0.99157,0.90136,0.47565,0.29996,0.75189,0.0002972,0.0002972,0.0002972
88,536.001,0.39585,0.2989,0.85865,0.99747,0.96774,0.99014,0.91543,0.46954,0.30961,0.7546,0.0002774,0.0002774,0.0002774
89,543.425,0.35833,0.30114,0.87776,0.9993,0.96774,0.98714,0.90319,0.47791,0.3112,0.7639,0.0002576,0.0002576,0.0002576
90,548.961,0.39785,0.30117,0.8634,1,0.96585,0.98768,0.90834,0.48101,0.31023,0.7632,0.0002378,0.0002378,0.0002378
91,559.017,0.32031,0.2749,0.83624,0.9972,0.93548,0.98987,0.9148,0.48766,0.3133,0.76011,0.000218,0.000218,0.000218
92,564.419,0.30226,0.2579,0.81311,0.99482,0.93548,0.9897,0.87726,0.49281,0.32728,0.77158,0.0001982,0.0001982,0.0001982
93,570.374,0.31476,0.2428,0.83269,0.99028,0.93548,0.98675,0.89278,0.48793,0.33579,0.76914,0.0001784,0.0001784,0.0001784
94,575.873,0.2819,0.25114,0.828,0.99232,0.93548,0.97261,0.88645,0.47728,0.35595,0.75532,0.0001586,0.0001586,0.0001586
95,580.924,0.35975,0.25276,0.88082,0.99495,0.93548,0.97756,0.89845,0.45541,0.33561,0.74144,0.0001388,0.0001388,0.0001388
96,586.8,0.29962,0.2345,0.83377,0.99514,0.93548,0.98395,0.90679,0.44637,0.31309,0.73521,0.000119,0.000119,0.000119
97,592.014,0.28568,0.23892,0.81364,0.99363,0.93548,0.98385,0.90986,0.44984,0.31229,0.73378,9.92e-05,9.92e-05,9.92e-05
98,597.286,0.4246,0.2626,0.84543,0.99073,0.93548,0.98594,0.90666,0.44669,0.31302,0.73295,7.94e-05,7.94e-05,7.94e-05
99,602.986,0.32195,0.22685,0.85679,0.98872,0.93548,0.98697,0.91227,0.44698,0.3141,0.73537,5.96e-05,5.96e-05,5.96e-05
100,607.883,0.2708,0.20634,0.78526,0.96765,0.96497,0.98425,0.91267,0.45022,0.31816,0.7375,3.98e-05,3.98e-05,3.98e-05
